ActivityCode,Activity
311,"Electric motors, generators and transformers"
3110,"Electric motors, generators and transformers"
312,Electricity distribution & control apparatus
3120,Electricity distribution & control apparatus
313,Insulated wire and cable
3130,Insulated wire and cable
314,"Accumulators, primary cells and batteries"
3140,"Accumulators, primary cells and batteries"
315,Lighting equipment and electric lamps
3150,Lighting equipment and electric lamps
319,Other electrical equipment n.e.c.
3190,Other electrical equipment n.e.c.
32,"Radio,television and communication equipment"
321,"Electronic valves, tubes, etc."
3210,"Electronic valves, tubes, etc."
322,TV/radio transmitters; line comm. apparatus
3220,TV/radio transmitters; line comm. apparatus
323,TV and radio receivers and associated goods
3230,TV and radio receivers and associated goods
33,"Medical, precision and optical instruments"
331,"Medical, measuring, testing appliances, etc."
3311,"Medical, surgical and orthopaedic equipment"
3312,"Measuring/testing/navigating appliances,etc."
3313,Industrial process control equipment
332,Optical instruments & photographic equipment
3320,Optical instruments & photographic equipment
333,Watches and clocks
3330,Watches and clocks
34,"Motor vehicles, trailers, semi-trailers"
341,Motor vehicles
3410,Motor vehicles
342,"Automobile bodies, trailers & semi-trailers"
3420,"Automobile bodies, trailers & semi-trailers"
343,Parts/accessories for automobiles
3430,Parts/accessories for automobiles
35,Other transport equipment
351,Building and repairing of ships and boats
3511,Building and repairing of ships
3512,Building/repairing of pleasure/sport. boats
352,Railway/tramway locomotives & rolling stock
3520,Railway/tramway locomotives & rolling stock
353,Aircraft and spacecraft
3530,Aircraft and spacecraft
359,Transport equipment n.e.c.
3591,Motorcycles
3592,Bicycles and invalid carriages
3599,Other transport equipment n.e.c.
36,Furniture; manufacturing n.e.c.
361,Furniture
3610,Furniture
369,Manufacturing n.e.c.
3691,Jewellery and related articles
3692,Musical instruments
3693,Sports goods
3694,Games and toys
3699,Other manufacturing n.e.c.
37,Recycling
371,Recycling of metal waste and scrap
3710,Recycling of metal waste and scrap
372,Recycling of non-metal waste and scrap
3720,Recycling of non-metal waste and scrap
E,"Total electricity, gas and water supply"
40,"Electricity, gas, steam and hot water supply"
401,"Electricity production, collection, distribution"
402,Gas production and distribution
403,Steam and hot water supply
41,"Water collection, purification, distribution"
410,"Water collection, purification, distribution"
